Symbol,Date,Open,High,Low,Close,Percent Change,Volume,Turn Over
ADBL,23/11/2025,315,316,313.2,316,1.15%,"61,239.00","1,92,72,047.00"
ADBL,20/11/2025,312,313.9,312,312.4,-0.13%,"23,008.00","71,95,946.30"
ADBL,19/11/2025,315,315,312,312.8,-0.54%,"22,061.00","68,93,003.70"
ADBL,18/11/2025,314,316.9,311.6,314.5,0.26%,"24,019.00","75,33,338.60"
ADBL,17/11/2025,318.2,318.2,310.1,313.7,0.54%,"24,424.00","76,19,221.40"
ADBL,16/11/2025,313,314.5,310.1,312,0.00%,"22,740.00","70,86,510.60"
ADBL,13/11/2025,313,313.9,311.5,312,-0.32%,"39,923.00","1,24,69,171.30"
ADBL,12/11/2025,313,316.9,312,313,-0.25%,"19,975.00","62,42,919.60"
ADBL,11/11/2025,312,314,312,313.8,0.38%,"29,052.00","90,89,277.50"
ADBL,10/11/2025,315,315,312,312.6,-0.76%,"60,370.00","1,88,63,894.30"
ADBL,09/11/2025,318,318.8,312,315,-0.94%,"1,21,484.00","3,81,17,064.40"
ADBL,06/11/2025,317,320.8,316,318,0.95%,"2,23,177.00","7,10,60,057.80"
ADBL,05/11/2025,309.1,315,308,315,0.96%,"41,787.00","1,29,68,375.10"
ADBL,04/11/2025,322,322,309.1,312,-1.58%,"56,192.00","1,75,17,405.30"
ADBL,03/11/2025,320.3,320.3,312,317,0.63%,"26,537.00","83,47,086.80"
ADBL,02/11/2025,319.7,325.9,313,315,0.48%,"34,431.00","1,08,55,529.00"
ADBL,30/10/2025,316.6,319.9,310,313.5,0.48%,"28,033.00","87,79,259.10"
ADBL,29/10/2025,308.7,320,308.7,312,-0.95%,"27,920.00","87,46,121.80"
ADBL,28/10/2025,309,318,309,315,1.94%,"20,072.00","63,07,339.60"
ADBL,26/10/2025,310,310,305,309,-0.29%,"18,308.00","56,23,206.80"
ADBL,19/10/2025,307.9,311,305,309.9,0.32%,"14,571.00","44,76,640.70"
ADBL,16/10/2025,312,312,305.5,308.9,0.29%,"18,464.00","56,61,314.40"
ADBL,15/10/2025,308,308.5,306,308,-0.32%,"24,390.00","74,93,603.40"
ADBL,14/10/2025,310.5,313.9,307,309,-0.32%,"26,968.00","83,14,724.90"
ADBL,13/10/2025,307,311,306.2,310,0.75%,"18,227.00","56,19,864.70"
ADBL,12/10/2025,317,317,307,307.7,-2.93%,"73,570.00","2,27,45,799.30"
ADBL,09/10/2025,318,324,314,317,1.47%,"44,571.00","1,41,83,868.30"
ADBL,08/10/2025,315,315,310.5,312.4,-1.42%,"43,145.00","1,34,52,253.40"
ADBL,07/10/2025,320,322.9,315.8,316.9,-0.81%,"35,362.00","1,12,15,883.70"
ADBL,28/09/2025,317.3,321,315,319.5,0.69%,"26,821.00","85,32,207.90"
ADBL,25/09/2025,311,317.9,311,317.3,0.41%,"29,186.00","92,36,251.30"
ADBL,24/09/2025,321.5,321.5,312,316,-0.32%,"28,083.00","88,41,447.30"
ADBL,23/09/2025,317,321,312.2,317,0.00%,"61,925.00","1,96,28,069.40"
ADBL,21/09/2025,293,322,293,317.01,6.13%,"67,958.00","2,10,36,109.00"
ADBL,18/09/2025,310.9,310.9,293,298.7,-5.82%,"3,170.00","9,48,638.00"
ADBL,08/09/2025,320.3,321,317,317.16,-1.23%,"69,424.00","2,20,91,514.00"
ADBL,07/09/2025,327.8,327.8,320.6,321.11,-1.11%,"49,379.00","1,58,97,110.90"
ADBL,04/09/2025,324,325.4,322.2,324.71,0.19%,"32,179.00","1,04,17,268.60"
ADBL,03/09/2025,323.5,326.7,323.5,324.08,-0.44%,"29,206.00","94,82,167.10"
ADBL,02/09/2025,334,334,325,325.5,-0.60%,"25,961.00","84,87,008.40"
ADBL,01/09/2025,329.6,329.6,323.2,327.47,1.31%,"37,584.00","1,22,28,556.10"
ADBL,31/08/2025,331,331,322.5,323.22,-1.32%,"42,198.00","1,37,13,519.10"
ADBL,28/08/2025,327.1,332,326,327.55,-1.13%,"66,102.00","2,17,36,108.50"
ADBL,27/08/2025,332.8,332.8,326,331.31,1.54%,"45,857.00","1,51,06,965.60"
ADBL,26/08/2025,326,329,325.4,326.28,-0.06%,"27,429.00","89,51,746.50"
ADBL,25/08/2025,323,328,323,326.49,0.09%,"53,184.00","1,73,07,499.80"
ADBL,24/08/2025,330.9,330.9,326,326.2,-0.93%,"50,565.00","1,65,40,565.60"
ADBL,21/08/2025,333,334,328.6,329.26,-0.97%,"56,884.00","1,87,75,560.30"
ADBL,20/08/2025,336,338,332.1,332.5,-0.94%,"31,830.00","1,06,11,929.60"
ADBL,19/08/2025,338,339,335,335.67,-0.60%,"42,199.00","1,42,06,187.00"
ADBL,18/08/2025,337,338.8,334,337.68,0.90%,"81,072.00","2,73,03,826.80"
ADBL,17/08/2025,332.5,337,332,334.66,0.66%,"80,302.00","2,68,81,288.10"
ADBL,14/08/2025,331.1,333.9,330.3,332.45,0.60%,"86,636.00","2,87,76,378.50"
ADBL,13/08/2025,332,335,330,330.48,-0.15%,"77,384.00","2,56,88,106.50"
ADBL,12/08/2025,333,334.5,328,330.97,-1.04%,"1,23,924.00","4,10,07,028.90"
ADBL,11/08/2025,333.3,344.9,333,334.44,2.32%,"3,77,771.00","12,70,70,981.70"
ADBL,07/08/2025,334.3,334.3,325.1,326.85,-0.29%,"41,801.00","1,36,96,872.30"
ADBL,06/08/2025,331.8,331.8,322.5,327.8,0.74%,"47,800.00","1,56,10,082.00"
ADBL,05/08/2025,325.6,334,325,325.39,-0.77%,"52,835.00","1,73,23,759.50"
ADBL,04/08/2025,322,329,322,327.91,0.47%,"73,743.00","2,40,69,357.30"
ADBL,03/08/2025,328,329.9,323,326.37,-1.75%,"89,591.00","2,92,24,450.40"
ADBL,31/07/2025,334.8,336.6,327,332.18,0.03%,"1,28,639.00","4,27,77,783.90"
ADBL,30/07/2025,342,342,331.5,332.08,-0.98%,"1,09,653.00","3,67,88,785.70"
ADBL,29/07/2025,338.4,340.1,333.1,335.35,1.07%,"1,87,129.00","6,30,71,404.20"
ADBL,28/07/2025,330,333.5,324,331.79,-0.07%,"1,18,015.00","3,87,45,121.40"
ADBL,27/07/2025,329.9,339,329.9,332.03,-1.35%,"1,29,779.00","4,34,23,538.00"
ADBL,24/07/2025,338,341,335.1,336.59,-0.89%,"72,244.00","2,43,67,907.80"
ADBL,23/07/2025,340,342,334.2,339.6,0.01%,"1,21,584.00","4,11,82,967.20"
ADBL,22/07/2025,338,341.9,334,339.57,2.25%,"1,42,308.00","4,82,86,338.80"
ADBL,21/07/2025,331,335,325.4,332.11,0.57%,"1,04,403.00","3,45,10,759.50"
ADBL,20/07/2025,334.9,342,326,330.22,-0.42%,"2,26,513.00","7,60,62,087.30"
ADBL,17/07/2025,328,333.5,328,331.6,1.37%,"1,87,049.00","6,20,17,332.40"
ADBL,16/07/2025,329.9,330.1,324,327.13,1.06%,"1,42,187.00","4,66,21,305.00"
ADBL,15/07/2025,312.1,326,311.7,323.7,2.53%,"1,06,227.00","3,36,39,078.00"
ADBL,14/07/2025,329,329,314.2,315.71,-3.46%,"1,15,004.00","3,65,58,787.30"
ADBL,13/07/2025,320.9,333.5,320.9,327.02,3.91%,"2,15,092.00","7,01,09,382.30"
ADBL,10/07/2025,304.2,320,304.1,314.7,3.45%,"2,58,347.00","8,14,70,959.80"
ADBL,09/07/2025,301,307,295.1,304.2,2.40%,"1,22,851.00","3,70,52,937.60"
ADBL,08/07/2025,295.2,299,294,297.08,0.19%,"76,334.00","2,25,77,732.40"
ADBL,07/07/2025,297,303.5,296,296.51,-1.14%,"58,749.00","1,76,04,399.30"
ADBL,06/07/2025,300,306,297,299.94,-0.27%,"72,632.00","2,18,44,890.70"
ADBL,03/07/2025,303,305,297,300.74,0.03%,"1,23,907.00","3,71,82,630.50"
ADBL,02/07/2025,295,301.8,294,300.65,2.37%,"1,24,408.00","3,71,71,581.20"
ADBL,01/07/2025,281.6,296,281.6,293.7,2.23%,"65,159.00","1,89,65,466.80"
ADBL,30/06/2025,290,291,286,287.28,0.21%,"25,817.00","74,30,581.20"
ADBL,29/06/2025,285,287.4,280,286.67,1.71%,"37,928.00","1,07,72,527.80"
ADBL,26/06/2025,281.8,284,281.1,281.85,0.04%,"30,005.00","84,56,034.10"
ADBL,25/06/2025,286,286,281,281.73,0.09%,"17,868.00","50,36,748.60"
ADBL,24/06/2025,280.1,285.7,277,281.48,0.09%,"24,677.00","69,83,497.50"
ADBL,23/06/2025,278.5,282.4,278.5,281.24,0.06%,"28,893.00","81,05,916.60"
ADBL,22/06/2025,284,287,280.5,281.08,-1.09%,"37,857.00","1,06,78,944.00"
ADBL,19/06/2025,280,285,280,284.18,-0.47%,"19,789.00","56,20,534.70"
ADBL,18/06/2025,285,288,284,285.52,0.26%,"17,243.00","49,24,385.60"
ADBL,17/06/2025,286.2,287,283.1,284.77,-0.45%,"19,099.00","54,28,592.10"
ADBL,16/06/2025,289,289,284.5,286.05,0.63%,"25,471.00","72,75,801.70"
ADBL,15/06/2025,286.1,288,284,284.25,-0.68%,"35,850.00","1,02,07,666.60"
ADBL,12/06/2025,285,289.3,285,286.2,-0.66%,"28,838.00","82,50,613.90"
ADBL,11/06/2025,284.5,291,284.2,288.09,-0.08%,"13,387.00","38,57,620.90"
ADBL,10/06/2025,293,293,287.2,288.33,-0.04%,"25,016.00","72,30,860.20"
ADBL,09/06/2025,286,291,285,288.44,0.29%,"17,735.00","51,28,465.90"
ADBL,08/06/2025,288.5,290,285,287.6,-0.23%,"10,481.00","30,10,633.60"
ADBL,05/06/2025,290,291,283,288.25,-0.68%,"43,892.00","1,25,98,798.40"
ADBL,04/06/2025,285.7,291,285.7,290.21,-0.42%,"21,673.00","62,63,062.50"
ADBL,03/06/2025,295,298,291.1,291.42,-1.81%,"37,267.00","1,09,06,849.00"
ADBL,02/06/2025,305.5,306,294.6,296.78,-0.94%,"56,718.00","1,69,28,950.10"
